"Name","HR","H","AB","RBI","Team","salary_millions","estimated_war","value_score","status"
"Pete Alonso",12,56,232,38,"BAL",31,0.336,0.0108387096774194,"Overvalued"
"Xander Bogaerts",8,49,205,26,"SD",25.454545,0.259,0.0101750001816964,"Overvalued"
"Nico Hoerner",4,61,240,33,"CHC",23.5,0.239,0.0101702127659574,"Overvalued"
"Cal Raleigh",7,26,161,18,"SEA",17.5,0.176,0.0100571428571429,"Overvalued"
"Aaron Judge",17,53,214,38,"NYY",40,0.397,0.009925,"Overvalued"
"Mike Trout",14,52,214,31,"LAA",35.541667,0.352,0.00990386860582538,"Overvalued"
"Trea Turner",7,55,242,19,"PHI",27.272727,0.263,0.00964333342976667,"Overvalued"
"Marcus Semien",6,49,218,23,"NYM",25,0.231,0.00924,"Overvalued"
"Cody Bellinger",8,59,215,38,"NYY",32.5,0.289,0.00889230769230769,"Overvalued"
"Rafael Devers",7,58,236,30,"SF",31.35,0.272,0.0086762360446571,"Overvalued"
"Dansby Swanson",7,35,193,27,"CHC",25.285714,0.203,0.00802824867828529,"Overvalued"
"Fernando Tatis Jr.",1,60,218,18,"SD",24.285714,0.194,0.00798823538809689,"Overvalued"
"Nolan Arenado",8,49,182,30,"ARI",32.5,0.259,0.00796923076923077,"Overvalued"
"Manny Machado",10,35,205,30,"SD",31.818182,0.245,0.007699999956,"Overvalued"
"Alex Bregman",5,62,243,19,"CHC",35,0.256,0.00731428571428571,"Overvalued"
"Matt Chapman",2,52,225,21,"SF",25.166667,0.184,0.00731125818130784,"Overvalued"
"Jose Altuve",4,40,163,12,"HOU",25,0.176,0.00704,"Overvalued"
"George Springer",5,33,160,14,"TOR",25,0.169,0.00676,"Overvalued"
"Vladimir Guerrero Jr.",3,63,212,24,"TOR",35.714286,0.231,0.006467999948256,"Overvalued"
"Juan Soto",13,48,162,29,"NYM",51,0.326,0.0063921568627451,"Overvalued"
"Trevor Story",3,34,165,19,"BOS",23.333333,0.144,0.00617142865959184,"Overvalued"
"Christian Yelich",4,32,112,20,"MIL",26.928571,0.152,0.00564456242405139,"Overvalued"
"Masataka Yoshida",1,29,116,10,"BOS",18,0.101,0.00561111111111111,"Overvalued"
"Corey Seager",7,28,156,20,"TEX",32.5,0.182,0.0056,"Overvalued"
"Roman Anthony",1,25,109,5,"BOS",16.25,0.089,0.00547692307692308,"Overvalued"
"Bo Bichette",5,52,244,28,"NYM",42,0.226,0.00538095238095238,"Overvalued"
"Jake Cronenworth",1,14,97,4,"SD",11.428571,0.056,0.00490000018375001,"Overvalued"
"Mookie Betts",6,21,106,17,"LAD",30.416667,0.147,0.00483287665936573,"Overvalued"
"Shohei Ohtani",10,63,215,33,"LAD",70,0.329,0.0047,"Overvalued"
"Giancarlo Stanton",3,23,90,14,"NYY",25,0.111,0.00444,"Overvalued"
"Carlos Correa",3,34,122,16,"HOU",33.333333,0.144,0.0043200000432,"Overvalued"
"Javier Báez",2,20,78,6,"DET",23.333333,0.088,0.00377142862530612,"Overvalued"
"Kyle Tucker",4,50,213,27,"LAD",60,0.206,0.00343333333333333,"Overvalued"
"Francisco Lindor",2,21,93,5,"NYM",34.1,0.091,0.00266862170087977,"Overvalued"
